round,client_id,score,event
-1,0,1.0000,reward
-1,1,1.0000,reward
-1,2,1.0000,reward
-1,3,1.0000,reward
-1,4,1.0000,reward
1,0,1.0000,clean
1,1,1.0000,clean
1,2,1.0000,clean
1,3,1.0000,clean
1,4,1.0000,clean
-1,0,1.0000,reward
-1,1,1.0000,reward
-1,2,1.0000,reward
-1,3,1.0000,reward
-1,4,1.0000,reward
2,0,1.0000,clean
2,1,1.0000,clean
2,2,1.0000,clean
2,3,1.0000,clean
2,4,1.0000,clean
-1,0,1.0000,reward
-1,1,1.0000,reward
-1,2,1.0000,reward
-1,3,1.0000,reward
-1,4,1.0000,reward
3,0,1.0000,clean
3,1,1.0000,clean
3,2,1.0000,clean
3,3,1.0000,clean
3,4,1.0000,clean
-1,0,1.0000,reward
-1,1,1.0000,reward
-1,2,1.0000,reward
-1,3,1.0000,reward
-1,4,1.0000,reward
4,0,1.0000,clean
4,1,1.0000,clean
4,2,1.0000,clean
4,3,1.0000,clean
4,4,1.0000,clean
-1,0,1.0000,reward
-1,1,1.0000,reward
-1,2,1.0000,reward
-1,3,1.0000,reward
-1,4,1.0000,reward
5,0,1.0000,clean
5,1,1.0000,clean
5,2,1.0000,clean
5,3,1.0000,clean
5,4,1.0000,clean
